               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.035908,             0.04937,                   0,             0.83322,             0.82351,             0.79225,             0.29261,            0.050189,            0.046921,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.035252,             0.04753,                   0,              0.9212,             0.92308,             0.91844,             0.32629,            0.047157,            0.045585,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.033687,            0.046298,                   0,             0.88775,             0.89011,             0.87608,             0.30587,            0.048666,            0.048426,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.035039,            0.045774,                   0,             0.92079,             0.91209,             0.92387,             0.32549,             0.04682,            0.047078,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.03483,            0.048601,                   0,             0.88702,             0.87912,             0.88962,             0.28061,            0.048661,            0.050207,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.035063,            0.049485,                   0,             0.88356,             0.87912,             0.85976,             0.30977,             0.04881,            0.049151,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.03435,            0.045605,                   0,             0.90106,             0.90073,             0.88982,             0.33482,            0.047397,            0.047825,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.035212,            0.045384,                   0,              0.9333,             0.94505,             0.93973,             0.33324,            0.046339,            0.047911,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.033629,            0.052321,                   0,             0.92135,             0.92308,             0.91433,             0.34995,            0.045159,            0.047005,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.032848,            0.045111,                   0,             0.87771,             0.87912,             0.86837,             0.32627,            0.047007,            0.047713,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.033964,            0.048111,                   0,             0.82391,             0.82267,             0.80726,             0.28336,            0.050291,            0.050623,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.035441,            0.048459,                   0,             0.93192,             0.93407,             0.92159,             0.32495,            0.047811,             0.04846,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.033815,            0.047096,                   0,             0.83476,             0.84615,             0.78231,             0.27996,             0.04951,            0.048996,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.033941,            0.045536,                   0,             0.91823,             0.92308,             0.90708,             0.29369,            0.048889,            0.051318,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.033118,            0.044725,                   0,             0.92126,             0.92308,             0.91015,             0.30946,            0.048155,            0.049005,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.032869,            0.046403,                   0,             0.85586,             0.85714,             0.84817,             0.26456,            0.052303,            0.049859,                   0,            0.007261,            0.007261,            0.007261
